what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1339682060332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1339682062082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339682064399
activated,view,com.android.ide.eclipse.ddms,,"com.android.ide.eclipse.ddms.views.LogCatView",1339682080535
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339682082907
activated,view,org.eclipse.rse.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.ui.view.systemView",1339682084025
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339682085204
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1339682087073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339682091433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339682108826
activated,view,com.android.ide.eclipse.ddms,,"com.android.ide.eclipse.ddms.views.LogCatView",1339682110198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339682111737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339682116066
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339682116078
activated,view,com.android.ide.eclipse.ddms,,"com.android.ide.eclipse.ddms.views.LogCatView",1339682117671
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1339682136261
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339682136276
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1339682144125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339682171022
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339682172411
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1339682175620
activated,view,com.android.ide.eclipse.ddms,,"com.android.ide.eclipse.ddms.views.LogCatView",1339682177285
